name,genres,year,country,producer,imdb_rating,link
Проклятие,"ужасы,, ,мистика",2004,США,Такаси Симидзу,5.9,"https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%BB%D1%8F%D1%82%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Помощник сатаны,фильм ужасов,2004,США,Джефф Либерман,5.3,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%BE%D1%89%D0%BD%D0%B8%D0%BA_%D0%A1%D0%B0%D1%82%D0%B0%D0%BD%D1%8B
Повелитель кукол против демонических игрушек,фильм ужасов,2004,,"Николау, Тэд",3.9,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_%D0%BA%D1%83%D0%BA%D0%BE%D0%BB_%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2_%D0%B4%D0%B5%D0%BC%D0%BE%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA
Панк-рок резня,"фильм ужасов,комедия",2004,США,Даг Закманн,3.5,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BD%D0%BA-%D1%80%D0%BE%D0%BA_%D1%80%D0%B5%D0%B7%D0%BD%D1%8F
Особь 3,"фильм ужасов,фантастический фильм",2004,США,Брэд Тёрнер,4.2,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%BE%D0%B1%D1%8C_3
Месть мертвецов,"Фильм ужасов,Триллер",2004,США,Шелдон Уилсон,4.9,https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%82%D1%8C_%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B5%D1%86%D0%BE%D0%B2
Озеро призраков,фильм ужасов,2004,США,Джей Вольфель,2.6,https://ru.wikipedia.org/wiki/%D0%9E%D0%B7%D0%B5%D1%80%D0%BE_%D0%BF%D1%80%D0%B8%D0%B7%D1%80%D0%B0%D0%BA%D0%BE%D0%B2
Пила: Игра на выживание,фильм ужасов,2004,США,Джеймс Ван,7.6,https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BB%D0%B0:_%D0%98%D0%B3%D1%80%D0%B0_%D0%BD%D0%B0_%D0%B2%D1%8B%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5
Мёртвые птицы,фильм ужасов,2004,США,Алекс Тёрнер,5.6,https://ru.wikipedia.org/wiki/%D0%9C%D1%91%D1%80%D1%82%D0%B2%D1%8B%D0%B5_%D0%BF%D1%82%D0%B8%D1%86%D1%8B
Обитель зла 2: Апокалипсис,боевик ужасов,2004,Германия,Александр Уитт,6.1,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_%D0%B7%D0%BB%D0%B0_2:_%D0%90%D0%BF%D0%BE%D0%BA%D0%B0%D0%BB%D0%B8%D0%BF%D1%81%D0%B8%D1%81
